element;c11;c12;c44
AlAl;112.3;60.25;34.12
AlCo;116.4;60.38;35.04
AlCl;107.08;60.25;31.34
AlAg;113.04;60.01;33.84
AlTc;119.02;60.19;34.28
AlCd;111.09;59.91;33.18
AlCa;107.67;59.8;33.91
AlSc;112.03;60.63;34.87
AlAs;110.59;60.88;33.52
AlAt;104.16;60.47;29.19
AlAu;113.39;60.52;33.63
AlCu;113.52;60.2;34.2
AlCr;117.87;60.06;34.17
AlCs;99.17;58.46;27.66
AlMg;111.65;59.59;34.15
AlIn;109.98;60.15;32.85
AlRh;117.12;60.49;34.95
AlMn;117.9;60.12;34.37
AlMo;118.55;60.14;34.11
AlRu;118.27;60.45;34.7
AlTa;115.67;61.1;34.32
AlZn;112.13;60.06;33.78
AlBa;100.8;59.62;30.03
AlOs;118.83;60.63;34.55
AlZr;112.01;61.47;34.74
AlHg;110.77;60.15;32.6
AlPd;115.34;60.34;34.6
AlIr;117.62;60.78;34.85
AlGa;111.35;60.22;33.67
AlPo;106.48;60.87;30.95
AlGe;111.02;60.54;33.72
AlBi;107.31;60.73;31.58
AlK;104.29;58.96;31.99
AlI;105.02;60.26;30.13
AlBe;113.0;60.28;34.11
AlPb;107.72;60.28;31.73
AlTl;108.72;60.01;31.97
AlY;108.38;60.99;34.48
AlV;116.5;60.41;34.24
AlW;118.54;60.4;34.05
AlBr;106.1;60.21;30.69
AlS;107.98;61.7;31.52
AlP;110.05;61.55;32.91
AlRb;101.64;58.72;30.1
AlNi;115.15;60.35;34.81
AlTi;114.39;60.78;34.64
AlPt;115.82;60.76;34.55
AlNa;109.71;59.05;33.82
AlHf;112.66;61.4;34.9
AlLi;112.19;59.17;33.05
AlNb;115.79;60.82;34.25
AlSn;109.4;60.48;32.75
AlSi;111.86;60.73;34.12
AlFe;117.24;60.32;34.76
AlSr;104.15;59.85;32.54
AlSe;108.94;60.93;32.38
AlSb;108.91;60.82;32.61
AlTe;107.75;60.83;31.89
AlRe;119.47;60.34;34.17
