element;bulk;young;shear
AlAl;77.6;81.17;30.62
AlCo;79.05;84.67;32.03
AlCl;75.86;74.53;27.89
AlAg;77.68;81.35;30.69
AlTc;79.8;85.25;32.24
AlCd;76.97;79.42;29.9
AlCa;75.76;78.3;29.49
AlSc;77.76;81.75;30.85
AlAs;77.45;79.09;29.74
AlAt;75.04;69.9;25.99
AlAu;78.14;81.06;30.54
AlCu;77.97;82.0;30.95
AlCr;79.33;84.52;31.96
AlCs;72.03;65.92;24.46
AlMg;76.94;81.13;30.63
AlIn;76.76;78.23;29.41
AlRh;79.36;84.92;32.13
AlMn;79.38;84.77;32.06
AlMo;79.61;84.78;32.05
AlRu;79.72;85.27;32.26
AlTa;79.29;83.0;31.31
AlZn;77.42;80.72;30.43
AlBa;73.35;69.32;25.82
AlOs;80.03;85.31;32.26
AlZr;78.32;81.18;30.58
AlHg;77.03;78.38;29.46
AlPd;78.67;83.52;31.56
AlIr;79.73;84.95;32.12
AlGa;77.26;80.05;30.15
AlPo;76.07;73.36;27.39
AlGe;77.37;79.77;30.03
AlBi;76.26;74.73;27.96
AlK;74.07;74.27;27.86
AlI;75.18;71.74;26.75
AlBe;77.85;81.55;30.76
AlPb;76.09;75.4;28.24
AlTl;76.25;76.43;28.67
AlY;76.79;78.84;29.67
AlV;79.11;83.69;31.61
AlW;79.78;84.59;31.96
AlBr;75.51;73.12;27.31
AlS;77.13;74.58;27.85
AlP;77.72;77.66;29.12
AlRb;73.03;70.41;26.29
AlNi;78.62;83.66;31.63
AlTi;78.65;82.81;31.26
AlPt;79.11;83.54;31.55
AlNa;75.94;79.82;30.13
AlHf;78.49;81.8;30.84
AlLi;76.84;80.24;30.26
AlNb;79.14;83.1;31.36
AlSn;76.78;77.6;29.14
AlSi;77.77;80.68;30.4
AlFe;79.29;84.82;32.09
AlSr;74.62;74.41;27.89
AlSe;76.93;76.64;28.72
AlSb;76.85;76.96;28.86
AlTe;76.47;75.35;28.2
AlRe;80.05;85.28;32.24
