element;lattice_parameter
AlAl;4.0397
AlCo;4.0301
AlCl;4.0468
AlAg;4.0408
AlTc;4.0331
AlCd;4.0455
AlCa;4.053
AlSc;4.045
AlAs;4.0421
AlAt;4.0601
AlAu;4.0398
AlCu;4.0353
AlCr;4.032
AlCs;4.0675
AlMg;4.0437
AlIn;4.0478
AlRh;4.033
AlMn;4.0303
AlMo;4.0357
AlRu;4.0321
AlTa;4.0395
AlZn;4.039
AlBa;4.0671
AlOs;4.0317
AlZr;4.0455
AlHg;4.0458
AlPd;4.036
AlIr;4.0324
AlGa;4.0408
AlPo;4.0569
AlGe;4.0415
AlBi;4.0553
AlK;4.0578
AlI;4.0553
AlBe;4.0339
AlPb;4.0537
AlTl;4.0507
AlY;4.0527
AlV;4.0348
AlW;4.0357
AlBr;4.0501
AlS;4.0405
AlP;4.0379
AlRb;4.0629
AlNi;4.0319
AlTi;4.0389
AlPt;4.035
AlNa;4.047
AlHf;4.0444
AlLi;4.0391
AlNb;4.0398
AlSn;4.0489
AlSi;4.0378
AlFe;4.0297
AlSr;4.0601
AlSe;4.0444
AlSb;4.0498
AlTe;4.0514
AlRe;4.0329
